月份,250cc+全体销量(万台),250cc+全体内销≈上牌(万台),仿赛前10合计(台),仿赛前10占比,销量第1品牌,销量第1数量(台),销量第2品牌,销量第2数量(台),销量第3品牌,销量第3数量(台),前三名总销量(台),前三名销量占比,上牌第1品牌,上牌第1数量(台),上牌第2品牌,上牌第2数量(台),上牌第3品牌,上牌第3数量(台),前三名总上牌(台),前三名上牌占比,张雪品牌总销量(台),张雪品牌上牌(台),500RR销量(台),500RR上牌(台)
2025.11,6.10,1.8,仿赛前10合计未知,仿赛前10占比未知,张雪500RR,5862,凯越450RR,3218,川崎Ninja,2945,12025,19.7%,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,张雪品牌总销量未知,张雪品牌上牌未知,5862,500RR上牌未知
2025.12,6.90,2.8,仿赛前10合计未知,仿赛前10占比未知,张雪500RR,6275(Q4),春风450SR,4370(Q4),销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,6275(Q4全国第1),张雪品牌上牌未知,500RR销量未知,500RR上牌未知
2025全年,95.23,42.0,仿赛前10合计未知,仿赛前10占比未知,春风450SR,37416,春风450CL-C,21595,张雪500RR,21049,80060,8.4%,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,22665(全国第8),张雪品牌上牌未知,21049,500RR上牌未知
2026.1,6.40,1.9,仿赛前10合计未知,仿赛前10占比未知,张雪500RR,1905,春风450CL-C,1307,春风450SR,1030,4242,6.6%,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,张雪品牌总销量未知,张雪品牌上牌未知,1905,500RR上牌未知
2026.2,4.60,1.2,仿赛前10合计未知,仿赛前10占比未知,张雪500RR,1353,销量第2品牌未知,销量第2数量未知,销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,张雪品牌总销量未知,张雪品牌上牌未知,1353,500RR上牌未知
2026.3,7.77,内销未知,仿赛前10合计未知,仿赛前10占比未知,张雪500RR,1860(零售),销量第2品牌未知,销量第2数量未知,销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,3180,张雪品牌上牌未知,1860,500RR上牌未知
2026.4,10.40,4.8,仿赛前10合计未知,仿赛前10占比未知,张雪500RR,3930,销量第2品牌未知,销量第2数量未知,销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,张雪品牌总销量未知,张雪品牌上牌未知,3930,500RR上牌未知
2026.5,10.20,4.8,仿赛前10合计未知,仿赛前10占比未知,张雪500RR,2500~2700,销量第2品牌未知,销量第2数量未知,销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,张雪500RR,2500~2700,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,3200,张雪品牌上牌未知,2500~2700,2500~2700
2026.6,11.30,4.4,仿赛前10合计未知,仿赛前10占比未知,销量第1品牌未知,销量第1数量未知,销量第2品牌未知,销量第2数量未知,销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,破万(月销),张雪品牌上牌未知,500RR销量未知,500RR上牌未知
2026.7,10.09,内销未知,仿赛前10合计未知,仿赛前10占比未知,销量第1品牌未知,销量第1数量未知,销量第2品牌未知,销量第2数量未知,销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,张雪品牌总销量未知,张雪品牌上牌未知,500RR销量未知,500RR上牌未知
2026 H1累计,50.6,20.1,仿赛前10合计未知,仿赛前10占比未知,销量第1品牌未知,销量第1数量未知,销量第2品牌未知,销量第2数量未知,销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,张雪品牌总销量未知,8200(品牌第7),500RR销量未知,4900(单车第12)
